ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL;
11;MUNICIPALIDAD PROVINCIAL DE AREQUIPA;20154489895;MEJORAMIENTO DEL SERVICIO DE INTERCONEXION VIAL ENTRE LAS AVENIDAS JESUS, LOS INCAS, KENEDY Y LAS CALLES LONDRES, 30 DE AGOSTO, MARIA NIEVES BUSTAMANTE, DE LOS DISTRITOS DE AREQUIPA, PAUCARPATA Y JOSE LUIS BUSTAMANTE;MEJORAMIENTO DEL SERVICIO DE INTERCONEXION VIAL;Clasificaci¢n;Transportes;6/04/2021;Aprobado;SIN DESCRIPCION;-71.51251308;-16.4125286;RD N¯ 00111-2021-SENACE-PE/DEIN;null;
12;CINTRA SERVICIOS DE INFRAESTRUCTURAS SUCURSAL DEL PERU;20601615518;ANILLO VIAL PERIFERICO DE LA CUIDAD DE LIMA Y EL CALLAO TRAMO I: DESDE EL OVALO 200 MILLAS-AV ELMER FAUCETT -AV. CANTA CALLAO HASTA SU CRUCE CON LA AV. NARANJAL HASTA LA PANAMERICANA NORTE;ANILLO VIAL PERIFERICO DE LA CUIDAD DE LIMA Y EL CALLAO TRAMO I: DESDE EL OVALO 200 MILLAS-AV ELMER FAUCETT -AV. CANTA CALLAO HASTA SU CRUCE CON LA AV. NARANJAL HASTA LA PANAMERICANA NORTE;Clasificaci¢n;Transportes;18/07/2019;Aprobado;SIN DESCRIPCION;-77.06230109;-11.97675137;RD N¯ 00164-2019-SENACE-PE/DEIN;null;
13;COMPA•÷A MINERA ARES S.A.C.;20192779333;SEGUNDO ITS PARA LA MEJORA TECNOL‡GICA DEL SISTEMA DE TRATAMIENTO DE AGUAS DE LA PRESA DE RELAVES PALLANCATA FASE 3 Y TRANSPORTE DE MNATERIAL GRUESO DE LA U.O. SELENE HACIA LA U.O. PALLANCATA;PALLANCATA;ITS;Miner°a;14/12/2016;Aprobado;SIN DESCRIPCION;-73.147;-14.682;RD N¯ 013-2017-SENACE/DCA;null;
14;PLUSPETROL PERÈ CORPORATION S.A.;20304177552;ITS PARA LA INSTALACION CAMPAMENTO SATELITE MALVINAS;LOTE 88;ITS;Hidrocarburos;7/04/2017;Aprobado;SIN DESCRIPCION;-72.93665084;-11.82351803;RD N¯ 140-2017-SENACE/DCA;null;
15;COMPA•IA MINERA LINCUNA S.A.;20458538701;AMPLIACION DE CAPACIDAD INSTALADA DE 3000 A 3600 TMD DE LA PLANTA DE BENEFICIO HUANCAPETI 2009 POR MEJORAS TECNOLOGICAS;U.M. HUANCAPETI;ITS;Miner°a;27/06/2017;Aprobado;SIN DESCRIPCION;-77.52864023;-9.75216662;RD N¯ 218-2017-SENACE/DCA;null;
16;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE CHAC•A;20204474606;CONSTRUCCION DE  CAMINO VECINAL SECSENCCAYA-JATUN PIHUANCA DEL -, DISTRITO DE SAN JUAN DE CHACNA - AYMARAES - APURIMAC;CONSTRUCCI‡N DE CAMINO VECINAL;Clasificaci¢n;Transportes;25/10/2021;Aprobado;SIN DESCRIPCION;-73.18385894;-13.90422517;RD N¯ 00084-2022-SENACE-PE/DEIN;null;
17;NYRSTAR ANCASH S.A.;20383161330;EXTENSI‡N DEL DEP‡SITO DE RELAVES TUCUSH DE LA UNIDAD DE PRODUCCI‡N CONTONGA;UEA CONTONGA;ITS;Miner°a;19/07/2016;Aprobado;SIN DESCRIPCION;-77.078;-9.5;RD N¯ 066-2016-SEANCE/DCA;null;
18;PAN AMERICAN SILVER HUAR‡N S.A.;20546191541;MODIFICACI‡N DE LA TUBER÷A DE CONDUCCI‡N DE AGUAS RESIDUALES HACIA LA PLANTA DE TRATAMIENTO SAN JOSê;PAN AMERICAN SILVER;ITS;Miner°a;24/11/2016;Aprobado;SIN DESCRIPCION;-76.41;-11.0101;RD N¯ 001-2017-SENACE/DCA;null;
31;MINSUR S.A.;20100136741;MODIFICACI‡N DEL PLAN DE PARTICIPACI‡N CIUDADANA DE LA TERCERA MODIFICACI‡N DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DE LA UNIDAD MINERA %u201CPUCAMARCA%u201D;PUCAMARCA;MPPC;Miner°a;16/09/2022;Aprobado;SIN DESCRIPCION;-69.80849073;-17.81725943;RD N¯ 00175-2022-SENACE-PE/DEAR;null;
32;EMPRESA NACIONAL DE PUERTOS S.A.;20100003200;MEJORAMIENTO DEL SERVICIO DE EMBARQUE Y DESEMBARQUE DE PASAJEROS EN EL TERMINAL PORTUARIO DE IQUITOS;SIN UNIDAD;Clasificaci¢n;Transportes;23/09/2016;Aprobado;SIN DESCRIPCION;-73.23992055;-73.23992055;RD N¯ 002-2017-SENACE/DCA;null;
35;GOBIERNO REGIONAL DE AMAZONAS;20479569900;MEJORAMIENTO DE LA CARRETERA CHACHAPOYAS - AEROPUERTO;SIN UNIDAD;Clasificaci¢n;Transportes;7/09/2016;Aprobado;SIN DESCRIPCION;-77.86660147;-77.86660147;RD N¯ 134-2016-SENACE/DCA;null;
47;NEXA RESOURCES EL PORVENIR S.A.C.;20492744833;SEXTO INFORME TêCNICO SUSTENTATORIO DE LA UNIDAD MINERA EL PORVENIR;U.M. EL PORVENIR;ITS;Miner°a;10/12/2019;Aprobado;SIN DESCRIPCION;-76.20517965;-10.61611424;RD N¯ 00051-2020-SENACE-PE/DEAR;null;
48;ARUNTANI S.A.C.;20466327612;CUARTO ITS DE LA UNIDAD MINERA ARASI: CANTERA JESSICA NORTE;U.M. ARASI;ITS;Miner°a;11/12/2018;Aprobado;SIN DESCRIPCION;-70.82776413;-15.25001665;RD N¯ 027-2019-SENACE-PE/DEAR;null;
50;JINZHAO MINING  PERU S.A.;20520694839;SEGUNDO INFORME TêCNICO SUSTENTATORIO DEL PROYECTO PAMPA DEL PONGO;PAMPA DEL PONGO;ITS;Miner°a;25/11/2019;Aprobado;SIN DESCRIPCION;-74.86134516;-15.39116406;RD N¯ 00003-2020-SENACE-PE/DEAR;null;
51;COMPA•÷A MINERA RAURA S.A.;20100163552;QUINTO ITS DE CAMBIOS EN INSTALACIONES AUXILIARES DE LA U.M. RAURA;U.M. RAURA;ITS;Miner°a;8/09/2017;Aprobado;SIN DESCRIPCION;-76.74649699;-10.45792535;RD N¯ 310-2017-SENACE-DCA;null;
52;COMPA•÷A DE MINAS BUENAVENTURA S.A.A.;20100079501;TERCER ITS EIAD PROYECTO TAMBOMAYO;U.M. TAMBOMAYO;ITS;Miner°a;24/09/2018;Aprobado;SIN DESCRIPCION;-71.9406;-15.467;RD N¯ 046-2018-SENACE-PE/DEAR;null;
54;ANABI S.A.C.;20517187551;PROYECTO UTUNSA;U.M. UTUNSA;ITS;Miner°a;30/12/2016;Aprobado;SIN DESCRIPCION;-72.2888;-14.4182;RD N¯ 024-2017-SENACE/DCA;null;
55;PAN AMERICAN SILVER HUAR‡N S.A.;20546191541;MEJORA TECNOL‡GICA DE LOS CIRCUITOS DE FLOTACI‡N (BULK Y ZINC) DE LA PLANTA CONCENTRADORA FRANCOIS;U.M. HUARON;ITS;Miner°a;5/06/2017;Aprobado;SIN DESCRIPCION;-76.40997186;-11.01011601;RD N¯ 178-2017-SENACE/DCA;null;
56;SAVIA PERÈ S.A.;20203058781;MODIFICACI‡N DEL PROGRAMA DE MONITOREO PARA LA ADECUACI‡N DE LOS ESTµNDARES DE CALIDAD AMBIENTAL (ECA) PARA AIRE Y AGUA DEL EIA;LOTE Z-2B;ITS;Hidrocarburos;27/09/2018;Aprobado;SIN DESCRIPCION;-81.14777291;-4.88961203;RD N¯ 00055-2018-SENACE-PE/DEAR;null;
57;MUNICIPALIDAD DISTRITAL DE UCHURACCAY;20574782920;PROYECTO %u201CCREACI‡N DEL CAMINO VECINAL ENTRE LAS COMUNIDADES DE UCHURACCAY-RODEOPAMPA-CHUQUI, DISTRITO DE UCHURACCAY, HUANTAAYACUCHO%u201D;CAMINO VECINAL ENTRE LAS COMUNIDADES DE UCHURACCAY-RODEOPAMPA-CHUQUI, DISTRITO DE UCHURACCAY, PROVINCIA DE HUANTA - AYACUCHO;Clasificaci¢n;Transportes;19/07/2019;Aprobado;SIN DESCRIPCION;-74.08717817;-12.81698106;RDN¯ 00043-2020-SENACE-PE/DEIN;null;
58;COMPA•IA MINERA KOLPA S.A.;20600020022;SêPTIMO INFORME TêCNICO SUSTENTATORIO DE LA UNIDAD MINERA HUACHOCOLPA UNO;UNIDAD MINERA HUACHOCOLPA UNO;ITS;Miner°a;8/10/2021;Aprobado;SIN DESCRIPCION;-74.98293812;-13.07143812;RD N¯ 00155-2021-SENACE-PE/DEAR;null;
59;TREVALI PERÈ S.A.C.;20516488973;PPC DURANTE LA ELABORACI‡N DE LA MEIA DE EXPLOTACI‡N MINA SANTANDER;SIN UNIDAD;PPC;Miner°a;15/02/2016;Aprobado;SIN DESCRIPCION;-76.52276047;-76.52276047;RD N¯ 303-2017-SENACE/DCA;null;
73;CONCESIONARIA INTEROCEµNICA SUR TRAMO 2 S.A.;20511125040;"ITS PARA LA AMPLIACI‡N DEL DEP‡SITO DE MATERIAL EXCEDENTE KM 209+000 LD DEL PROYECTO CORREDOR VIAL INTEROCEµNICO SUR, PERÈ-BRASIL, TRAMO 2: URCOS - PUENTE INAMBARI""""";SIN UNIDAD;ITS;Transportes;15/11/2017;Aprobado;SIN DESCRIPCION;-70.62932226;-13.18630185;RD N¯ 035-2017-SENACE- JEF/DEIN;null;
77;GOBIERNO REGIONAL JUN÷N;20486021692;AMPLIACI‡N Y MEJORAMIENTO DEL PUENTE NORUEGA, DISTRITO DE PERENE - SANTA ANA, PROVINCIA DE CHANCHAMAYO, REGI‡N JUN÷N;SIN UNIDAD;Clasificaci¢n;Transportes;14/11/2017;Aprobado;SIN DESCRIPCION;-75.2254199;-10.95058264;RD N¯ 065-2018-SENACE-JEF/DEIN;null;
78;COMPA•÷A MINERA CHUNGAR S.A.C.;20514608041;"MODIFICACI‡N DEL EIA PROYECTO AMPLIACI‡N DE LAS OPERACIONES MINERO METALÈRGICAS A 4200 TMD DE LA UNIDAD ANIM‡N""""";U.M. ANIMON;MEIA-d;Miner°a;3/09/2018;Aprobado;SIN DESCRIPCION;-76.4285;-11.0292;RD N¯ 00159-2020-SENACE-PE/DEAR;null;
63;MUNICIPALIDAD DISTRITAL ASQUIPATA;20211431971;CREACI‡N DEL CAMINO VECINAL DESDE LA COMUNIDAD DE MORCOLLA CHICO HASTA CHACAPATA, DISTRITO DE ASQUIPATA - PROVINCIA DE VICTOR FAJARDO - DEPARTAMENTO DE AYACUCHO;CREACI‡N DE CAMINO VECINAL;Clasificaci¢n;Transportes;16/06/2021;Aprobado;SIN DESCRIPCION;-73.91700515;-14.11444437;RD N¯ 00161-2021-SENACE-PE/DEIN;null;
64;CONCESIONARIA IIRSA NORTE S.A.;20511004251;ITS PARA AMPLIACI‡N DEL DEP‡SITO DE MATERIAL EXCEDENTE KM 110+200 LD - TRAMO N¯ 4 DV. OLMOS - CORRAL QUEMADO (DISTRITO DE POMAHUACA, PROVINCIA DE JAêN, REGI‡N CAJAMARCA);CORREDOR VIAL AMAZONAS NORTE;ITS;Transportes;11/10/2018;Aprobado;SIN DESCRIPCION;-79.1692481;-6.00264948;RD N¯ 00021-2019-SENACE-PE/DEIN;null;
65;GRA•A Y MONTERO PETROLERA S.A.;20100153832;LOTE IV;LOTE IV;ITS;Hidrocarburos;7/11/2017;Aprobado;SIN DESCRIPCION;-81.16284874;-4.48062664;RD N¯ 003-2018-SENACE-JEF/DEAR;null;
66;MINERA YANACOCHA S.R.L.;20137291313;QUINTO INFORME TêCNICO SUSTENTATORIO DE LA TERCERA MODIFICACI‡N DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO SUPLEMENTARIO YANACOCHA OESTE;U.M. YANACOCHA;ITS;Miner°a;30/11/2017;Aprobado;SIN DESCRIPCION;-78.5411;-6.9898;RD N¯ 012-2018-SENACE-JEF/DEAR;null;
67;MINERA YANACOCHA S.R.L.;20137291313;TERCER INFORME TêCNICO SUSTENTATORIO DE LA QUINTA MODIFICACI‡N DEL ESTUDIO DE IMPACTO AMBIENTAL DE LA AMPLIACI‡N DEL PROYECTO CARACHUGO - SUPLEMENTARIO YANACOCHA ESTE;U.M. YANACOCHA;ITS;Miner°a;30/11/2017;Aprobado;SIN DESCRIPCION;-78.4859;-6.9761;RD N¯ 007-2018-SENACE-JEF/DEAR;null;
68;LUZ DEL SUR S.A.A.;20331898008;NUEVA SET MANCHAY Y L÷NEAS ASOCIADAS;S.E. MANCHAY;Clasificaci¢n;Electricidad;20/03/2017;Aprobado;SIN DESCRIPCION;-76.86823366;-12.10054452;RD N¯ 133-2017-SENACE/DCA;null;
70;SAMAY I S.A.;20537698889;MODIFICACI‡N DE SILENCIADORES ACÈSTICOS DE LA CENTRAL TêRMICA (C.T.) PUERTO BRAVO;C.T. PUERTO BRAVO;ITS;Electricidad;20/10/2017;Aprobado;SIN DESCRIPCION;-71.9778932;-17.03838228;RD N¯ 008-2017-SENACE-JEF/DEAR;null;
36;TREVALI PERÈ S.A.C.;20516488973;PRIMER ITS PARA EL RECRECIMIENTO DEL DEP‡SITO DE RELAVES SANTANDER (10%) Y CONFIRMACI‡N DE RESERVAS;U.M. SANTANDER;ITS;Miner°a;5/06/2019;Aprobado;SIN DESCRIPCION;-76.52324721;-11.18673563;RD N¯ 116-2019-SENACE-PE/DEAR;null;
37;CONCESIONARIA IIRSA NORTE S.A.;20511004251;INFORME TêCNICO SUSTENTATORIO PARA LA AMPLIACI‡N DEL DEP‡SITO DE MATERIAL EXCEDENTE KM 53+950 LI, ZONA DE MEZCLA ASFµLTICA KM 53+940 LI  Y ACOPIO Y ZONA DE MEZCLA ASFµLTICA KM 31+900 LD, DEL PROYECTO CORREDOR VIAL AMAZONAS NORTE, TRAMO N¯ 1: TARAPOTO %u2013 YU;TRAMO I;ITS;Transportes;11/05/2022;Aprobado;SIN DESCRIPCION;-76.29395767;-6.33748034;RD N¯ 141-2022-SENACE-PE/DEIN;null;
38;SAPET DEVELOPMENT PERÈ INC., SUCURSAL DEL PERÈ;20168702346;INFORME TêCNICO SUSTENTATORIO PARA LA MODIFICACI‡N DE UBICACI‡N DE CUARENTA Y CUATRO (44) POZOS DE DESARROLLO Y DE L÷NEAS DE CODUCCI‡N EN EL LOTE VII/VI;LOTE VII/VI;ITS;Hidrocarburos;2/04/2018;Aprobado;SIN DESCRIPCION;-81.2176;-4.5318;RD N¯ 063-2018-SENACE-JEF/DEAR;null;
39;PETROTAL PERÈ S.R.L.;20513842377;REUBICACI‡N Y AMPLIACI‡N DE FACILIDADES (COMPONENTES) SUPERFICIALES EN LA LOCACI‡N 2A, ACTIVIDADES DE DESARROLLO DEL CAMPO PETROLERO BRETA•A NORTE- LOTE 95;LOTE 95;ITS;Hidrocarburos;11/12/2019;Aprobado;SIN DESCRIPCION;-74.32812263;-5.24383096;RD N¯ 00046-2020-SENACE-PE/DEAR;null;
40;ENEL DISTRIBUCI‡N PERÈ S.A.A.;20269985900;AMPLIACI‡N DE LA LT EN 60 KV L-636 A NUEVA SE FILADELFIA Y L÷NEAS DE INTERCONEXI‡N EN 60 KV A SUBESTACIONES PUENTE PIEDRA Y TOMµS VALLE;L.T. FILADELFIA-PUENTE PIEDRA;Clasificaci¢n;Electricidad;10/05/2016;Aprobado;SIN DESCRIPCION;-77.1015;-11.9856;RD N¯ 042-2016-SENACE/DCA;null;
44;DOE RUN PERU S.R.L. EN LIQUIDACI‡N EN MARCHA;20376303811;ITS PARA LA IMPLEMENTACI‡N DE PROYECTOS DE MODIFICACI‡N EN LA UNIDAD MINERA COBRIZA;U.M. COBRIZA;ITS;Miner°a;9/09/2019;Aprobado;SIN DESCRIPCION;-74.38994526;-12.57526094;RD N¯ 0013-2020-SENACE-PE/DEAR;null;
45;INSTITUTO METROPOLITANO PROTRANSPORTE DE LIMA - PROTRANSPORTE;20510407670;PIP %u201CMEJORAMIENTO DE LA ACCESIBILIDAD PEATONAL Y VEHICULAR EN EL ENTORNO DE LA ESTACI‡N FERNANDO TERµN DEL COSAC I EN EL DISTRITO DE CHORRILLOS, PROVINCIA DE LIMA%u201D, FORMULADA POR EL INSTITUTO METROPOLITANO PROTRANSPORTE DE LIMA - PROTRANSPORTE;SIN UNIDAD;Clasificaci¢n;Transportes;30/01/2018;Aprobado;SIN DESCRIPCION;-77.01947316;-12.16689808;RD N¯ 00024-2018-SENACE-PE/DEIN;null;
91;MUNICIPALIDAD DISTRITAL DE HUATA;20146926143;MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR DE LA CARRETERA TRAMO HUATA - CHINCHERPAMPA, DISTRITO DE HUATA - PUNO - PUNO;SIN UNIDAD;Clasificaci¢n;Transportes;7/12/2016;Aprobado;SIN DESCRIPCION;-69.99723954;-69.99723954;RD N¯ 109-2017-SENACE/DCA;null;
92;COMPA•÷A MINERA ZAFRANAL S.A.C.;20538837611;MODIFICACI‡N DEL PPC PREVIO A LA PRESENTACI‡N DEL EIA-D DEL PROYECTO DE EXPLOTACI‡N MINERA ZAFRANAL;SIN UNIDAD;PPC;Miner°a;12/04/2019;Aprobado;SIN DESCRIPCION;-71.93134607;-71.93134607;RD N¯ 0140-2019-SENACE-PE/DEAR;null;
93;GENERACI‡N ELêCTRICA R÷O BIAVO S.A.C.;20601825601;CENTRAL HIDROELêCTRICA ALTO BIAVO;SIN UNIDAD;PPC;Electricidad;26/06/2019;Aprobado;SIN DESCRIPCION;-76.39352835;-76.39352835;RD N¯ 106-2019-SENACE-PE/DEAR;null;
94;APUMAYO S.A.C.;20547735014;PPC DURANTE LA ETAPA DE ELABORACI‡N DEL EIA DEL PROYECTO ANCOS;SIN UNIDAD;PPC;Miner°a;20/01/2016;Aprobado;SIN DESCRIPCION;-73.92903536;-73.92903536;RD N¯ 305-2017-SENACE/DCA;null;
96;EDEGEL S.A.A.;20330791412;INSTALACI‡N DE UN SISTEMA DE ALMACENAMIENTO DE ENERG÷A BASADO EN BATER÷AS COMO MEJORA TECNOL‡GICA PARA LA ADECUACI‡N DE REGULACI‡N PRIMARIA DE FRECUENCIA DE LA CENTRAL TêRMICA VENTANILLA;CENTRAL TêRMICA VENTANILLA;ITS;Electricidad;17/10/2017;Aprobado;SIN DESCRIPCION;-77.11759633;-11.93624031;RD N¯ 009-2017-SENACE-JEF/DEAR;null;
97;TRANSPORTADORA DE GAS DEL PERÈ S.A.;20499432021;INFORME TêCNICO SUSTENTATORIO DE INSTALACI‡N DE UNA (01) MICROTURBINA EN LA ESTACI‡N DE BOMBEO Nß 02 (PS2) DEL SISTEMA DE TRANSPORTE POR DUCTOS DE GAS NATURAL Y L÷QUIDOS DE GAS NATURAL CAMISEA %u2013 LIMA;MICROTURBINA;ITS;Hidrocarburos;8/10/2021;Aprobado;SIN DESCRIPCION;-73.13783409;-12.54571285;RD N¯ 00010-2022-SENACE-PE/DEAR;null;
98;MUNICIPALIDAD DISTRITAL DE BALSAS;20165779879;CREACI‡N DEL CAMINO VECINAL, CRUCE BALSAS LEYMEBAMBA - SAN BASILIO A NIVEL DE AFIRMADO, DISTRITO DE BALSAS-CHACHAPOYAS - AMAZONAS;SIN UNIDAD;Clasificaci¢n;Transportes;27/11/2017;Aprobado;SIN DESCRIPCION;-77.91509628;-6.82194158;RD N¯ 036-2018-SENACE-JEF/DEIN;null;
99;REFINER÷A LA PAMPILLA S.A.A.;20259829594;REUBICACI‡N DEL MONOBOYA, CAMBIO DE DIµMETRO DE LAS TUBER÷AS, INCLUSI‡N DEL ESPIG‡N DE ROCA PARA PROTECCI‡N DE LAS TUBER÷AS DEL TERMINAL PORTUARIO MONOBOYA T4 Y VARIACI‡N DE DIMENSIONES;LA PAMPILLA;ITS;Hidrocarburos;19/01/2018;Aprobado;SIN DESCRIPCION;-77.1319302;-11.92429007;RD N¯ 056-2018-SENACE-JEF/DEAR;null;
101;LIMA AIRPORT PARTNERS S.R.L.;20501577252;SEGUNDO INFORME TêCNICO SUSTENTATORIO (ITS) DE LA SEGUNDA MODIFICACI‡N DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO  (SEGUNDA MEIA) DEL AEROPUERTO INTERNACIONAL JORGE CHµVEZ.;DIRECCI‡N DE EVALUACI‡N AMBIENTAL PARA PROYECTOS DE INFRAESTRUCTURA;ITS;Transportes;17/03/2023;Aprobado;SIN DESCRIPCION;-77.11847487;-12.01943027;RD Nß 00074-2023-SENACE-PE/DEIN;null;
102;NEXA RESOURCES PERU S.A.A.;20100110513;CUARTO INFORME TêCNICO SUSTENTATORIO DEL PROYECTO MAGISTRAL;MAGISTRAL;ITS;Miner°a;2/11/2020;Aprobado;SIN DESCRIPCION;-77.77293471;-8.22932335;RD N¯ 158-2020-SENACE-PE/DEAR;null;
116;MUNICIPALIDAD METROPOLITANA DE LIMA;20131380951;"DIA PROYECTO MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA AV. REYNALDO SAAVEDRA PI•‡N, AV. LUIS BRAILLE, AV. VICTOR SARRIA Y AV. ROBERTO THORNDIKE DE LA UNIDAD VECINAL MIRONES, PROV*""";"PROYECTO MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA AV. REYNALDO SAAVEDRA PI•‡N, AV. LUIS BRAILLE, AV. VICTOR SARRIA Y AV. ROBERTO THORNDIKE DE LA UNIDAD VECINAL MIRONES, PROVINCIA DE LIMA %u2013 LIMA""""";Clasificaci¢n;Transportes;17/09/2018;Aprobado;SIN DESCRIPCION;-77.05149872;-12.04383173;RD N¯ 00002-2019-SENACE-PE/DEIN;null;
119;AUTORIDAD PARA LA RECONSTRUCCI‡N CON CAMBIOS;20602114091;CREACI‡N DEL SERVICIO DE PROTECCI‡N EN RIBERAS DEL R÷O LACRAMARCA VULNERABLES ANTE PELIGROS DE INUNDACI‡N, EN 58 COMUNIDADES EN LOS DISTRITOS DE MACATE, CµCERES DEL PERÈ Y CHIMBOTE DE LA PROVINCIA DE SANTA %u2013 DEPARTAMENTO DE µNCASH;SIN UNIDAD;IGAPRO;Agricultura;10/06/2022;Aprobado;SIN DESCRIPCION;-78.45905;-8.96543;RD N¯ 00179-2022-SENACE-PE/DEIN;null;
